GPU Name,Performance
Ryzen 7 4700GE with Radeon Graphics,"2,496"
Radeon Ryzen 5 5600GE,"2,490"
Radeon Pro WX 3100,"2,489"
GeForce GT 1030,"2,487"
GeForce MX330,"2,470"
Barco MXRT 5600,"2,466"
Radeon Eng Sample: 100-000000146-40_42/35_Y,"2,464"
Ryzen 5 PRO 5650GE with Radeon Graphics,"2,459"
Radeon Ryzen 7 7730U,"2,455"
Radeon Ryzen 7 7700X 8-Core,"2,447"
GeForce MX250,"2,443"
